#,Company,Country,Est. Employees,Industry,Signal Type,Evidence,Stakeholders,Outreach Angle,Priority,Confidence
19,Paddle,UK,~400,B2B SaaS Payments / Merchant of Record,Processes payment data globally as controller for SaaS vendors,"Merchant-of-record platform processing payments on behalf of thousands of SaaS companies worldwide; acts as data controller for customer billing data; cross-border transfers across EEA, UK, US; PCI-DSS and GDPR intersection. Source: Sector ICP analysis; paddle.com","DPO; Chief Compliance Officer; VP Legal","Acting as merchant of record means you're the data controller — not just a processor — for your vendors' customer payment data. That creates a RoPA obligation, DSAR liability, and vendor-assessment duties across your entire SaaS partner ecosystem. Dastra structures all of that.",3,3
20,Benefex,UK,~300,Employee Benefits Technology,Processes sensitive HR/health/salary data as data processor,"Employee benefits platform processing salary, pension, health insurance, and other sensitive HR data on behalf of enterprise clients; data processor obligations under UK GDPR; likely uses spreadsheets or custom tools for DPA management. Source: Sector ICP analysis; benefex.co.uk","DPO; Head of Legal; Chief Operations Officer","Processing health, salary, and pension data for enterprise clients puts you squarely in the UK GDPR processor hot seat — client DPAs, sub-processor agreements, and DSAR pass-through obligations. Dastra gives you a professional-grade data processor toolkit without the enterprise price tag.",3,3
21,Ciphr,UK,~300,HR / Payroll / Learning Software,HR platform with employee data at scale — DPA obligations,"Provides HR, payroll, and learning management software to UK organisations; processes employee personal data including salary, performance, and health records; serves public and private sector. Source: Sector ICP analysis; ciphr.com","DPO; Head of Product Compliance; Chief Compliance Officer","Providing HR, payroll, and LMS solutions to public sector clients means DSAR obligations, DPAs with dozens of clients, and strict ICO expectations. Dastra's vendor and processor tools let you run your privacy programme the way your NHS and local authority clients expect.",3,3
22,Fexco,Ireland,~1300,Financial Services / FX / Payments,Cross-border financial data processing at scale,"Kerry-based financial services group operating across 30+ countries; divisions include FX, payments, motor, and business process outsourcing; processes financial data internationally; DPC supervisory oversight. Source: Sector ICP analysis; fexco.com","Group DPO; Group Compliance Director; CEO","Operating FX, payments, and BPO across 30+ countries from Kerry creates one of the most complex cross-border data governance estates in Ireland. Dastra's RoPA with transfer mechanisms, vendor-assessment module, and multi-entity DPIA workflows are built for exactly this profile.",3,3
23,FBD Insurance,Ireland,~600,Insurance,Irish insurer processing sensitive personal/health data,"Irish domestic insurer regulated by the Central Bank of Ireland; processes health, accident, and personal data for agricultural and commercial insurance; DPC oversight; subject to EIOPA digital guidelines. Source: Sector ICP analysis; fbd.ie","DPO; Group Compliance Manager; Head of Legal","As a CBI-regulated insurer processing health and accident data, FBD faces DPC scrutiny at the same time as legacy systems make governance complex. Dastra gives your DPO a single view of processing activities, DPIA workflows, and DSAR management that replaces fragmented tools.",3,3
24,Hostelworld Group,Ireland,~300,Travel Technology,Consumer app with cross-border personal data and cookie complexity,"Dublin-listed travel booking platform with 13M+ users globally; processes cross-border personal data; cookie consent complexity at scale; DPC subject to Irish Data Protection Act; FCA/Central Bank financial data obligations. Source: Sector ICP analysis; hostelworld.com","DPO; Head of Legal; Chief Product Officer","Serving 13M+ users globally from Dublin means cookie consent, cross-border transfer records, and DSAR management in multiple jurisdictions. Dastra's consent and RoPA tools give your small privacy team a professional infrastructure that scales with your user base.",3,3
25,Workhuman,Ireland,~800,HR Technology / Employee Recognition,HR platform processing employee data for global enterprise clients,"Dublin HQ; employee recognition and performance platform processing HR and people-analytics data for large global enterprises; data processor for FTSE/Fortune companies; ISO 27001 certified. Source: Sector ICP analysis; workhuman.com","DPO; Head of Trust & Security; Chief Legal Officer","Processing HR and recognition data for Fortune 500 clients makes enterprise DPAs, vendor assessments, and DSAR pass-through obligations central to your sales process. Dastra gives your privacy team a scalable toolkit to meet enterprise customer requirements without bespoke implementations.",3,3
26,Arachas Corporate Brokers,Ireland,~400,Insurance Brokerage,PE-backed growth + processing sensitive insurance data,"Ireland's largest insurance broker; acquired by Ardonagh Group; buy-and-build acquisition strategy; processes client risk, health, and personal data; M&A activity triggers RoPA reviews. Source: Sector ICP analysis; arachas.ie","DPO; Head of Compliance; CFO","Each acquisition under a buy-and-build strategy brings new data estates that need to be mapped, assessed, and integrated into your RoPA. Dastra's multi-entity framework lets your compliance team onboard newly acquired entities systematically without starting from scratch each time.",2,2
27,Dotdigital,UK,~400,Marketing Automation / CDP,Email/SMS platform processing consumer data at scale,"UK-listed marketing automation platform; processes email, SMS, and behavioural data for enterprise brands; cookie/consent governance complexity; PECR/UK GDPR marketing obligations; ICO cookie review affected similar platforms. Source: Sector ICP analysis; dotdigital.com","DPO; Head of Compliance; Chief Product Officer","As a marketing automation platform, you're both controller and processor for your clients' consumer data — which means ICO scrutiny, PECR marketing consent obligations, and client DPAs. Dastra gives your legal and compliance team a structured platform to manage all three.",2,2
28,CarTrawler,Ireland,~500,B2B Travel Technology,Processes personal booking data for 150+ airline and travel partners,"Dublin HQ; white-label car rental and travel ancillaries for airlines; processes personal travel/booking data for 150+ partners; cross-border transfers; acts as processor for major airline data controllers. Source: Sector ICP analysis; cartrawler.com","DPO; Head of Legal; Chief Technology Officer","Acting as a data processor for 150+ airlines and travel brands — many of them under strict GDPR/UK GDPR — means your privacy programme needs to handle complex DPAs, DSAR pass-throughs, and sub-processor governance at scale. Dastra makes that manageable.",2,2
29,PCI Pal,UK,~200,Payment Security SaaS,Payment data security with intersection of GDPR obligations,"UK-listed SaaS platform for PCI-DSS-compliant payment security; processes payment data on behalf of clients; strong intersection between PCI-DSS and UK GDPR obligations; FCA and ICO touch points. Source: Sector ICP analysis; pcipal.com","DPO; Chief Information Security Officer; Head of Compliance","Straddling PCI-DSS and UK GDPR as a payment security SaaS means your vendor agreements, DPIAs for payment processing, and RoPA entries all need to be tightly maintained. Dastra lets your compliance team manage both frameworks' documentation obligations in one place.",2,2
30,Moneyfarm,UK,~300,Digital Wealth Management,FCA-regulated investment platform with pension/ISA data,"UK-based digital investment adviser; FCA-regulated; processes pension, GIA, and ISA data for 100K+ clients; Consumer Duty obligations from 2024; cross-border data to Italy HQ. Source: Sector ICP analysis; moneyfarm.com","DPO; Head of Compliance; Chief Legal Officer","Processing pension and ISA data across UK and EU jurisdictions under Consumer Duty, UK GDPR, and FCA obligations requires a disciplined privacy programme. Dastra gives your DPO a unified view of processing, transfers, and DSARs — without the cost of an enterprise platform.",2,2
